G,S,X,Y
0,0,мир,мира
1,0,ила,или
0,0,рій,рія
0,0,лег,лега
1,0,ана,ани
0,0,ита,ити
0,0,дим,дима
0,0,ндр,ндра
0,0,лій,лія
0,0,гій,гія
1,0,дра,дри
0,0,лав,лава
1,0,Зоя,Зої
0,0,ній,нія
0,0,тор,тора
0,0,тро,тра
0,0,нід,ніда
1,0,тин,тина
1,0,рія,рії
0,0,тон,тона
1,0,нія,нії
0,0,нис,ниса
0,0,лан,лана
1,0,лія,лії
0,0,дій,дія
1,0,ина,ини
1,0,ена,ени
1,0,яна,яни
1,0,сія,сії
0,0,рас,раса
1,0,еся,есі
0,0,вло,вла
0,0,ван,вана
0,0,иль,иля
П1,0,рій,рія
0,0,гор,гора
0,0,иіл,иіла
1,0,нна,нни
0,0,йло,йла
0,0,сим,сима
0,0,тин,тина
0,0,сій,сія
1,0,Яна,Яни
1,0,аля,алі
1,0,іна,іни
1,0,нда,нди
1,0,лла,лли
1,0,ьга,ьги
0,0,ман,мана
1,0,мма,мми
1,0,иса,иси
1,0,ава,ави
0,0,есь,еся
0,0,ола,оли
1,0,дія,дії
0,0,гор,горя
0,0,лля,ллі
0,0,ган,гана
1,0,’га,’ги
0,0,тур,тура
0,0,ген,гена
1,0,ара,ари
0,0,тем,тема
0,0,дан,дана
0,0,бен,бена
0,0,нна,нни
0,0,рек,река
0,0,пан,пана
0,0,нис,нис
