G,S,X,Y
0,1,нко,нка
1,1,нко,нко
0,1,еза,ези
0,1,мак,мака
1,1,щук,щук
0,1,зік,зіка
1,1,шен,шен
0,1,ров,рова
0,1,тов,това
0,1,уст,уста
0,1,чук,чука
1,1,ова,ової
0,1,нір,ніра
0,1,ало,ала
1,1,рош,рош
0,1,лов,лова
0,1,нюк,нюка
0,1,уля,улі
0,1,ько,ька
0,1,жук,жука
0,1,ков,кова
0,1,ьєв,ьєва
1,1,аєв,аєва
1,1,нко,нка
0,1,ема,еми
0,1,кий,кого
1,1,єва,євої
0,1,ник,ника
0,1,ець,ця
0,1,щук,щука
0,1,дус,дуса
1,1,ина,иної
1,1,рак,рак
1,1,нір,нір
0,1,оян,ояна
1,1,кая,кої
0,1,аль,аля
1,1,рян,рян
0,1,ега,еги
1,1,роз,роз
0,1,уха,ухи
1,1,цол,уцол
1,1,кач,кач
1,1,іна,іної
1,1,ька,ької
1,1,щук,щука
0,1,нов,нова
0,1,ляс,ляса
1,1,вич,вич
0,1,ига,иги
0,1,ілі,ілі
1,1,люк,люк
0,1,рук,рука
0,1,цин,цина
0,1,риш,риша
1,1,рна,рної
0,1,чак,чака
0,1,лян,ляна
П1,1,щук,іщука
0,1,чий,чия
1,1,жна,жної
0,1,шко,шка
1,1,чук,чук
0,1,тий,того
0,1,ний,ного
0,1,вун,вуна
0,1,сюк,сюка
1,1,бко,бко
1,1,ько,ько
0,1,няк,няка
1,1,йко,йко
0,1,вич,вича
0,1,рун,руна
0,1,хов,хова
0,1,чко,чка
0,1,роз,роза
1,1,дул,дул
0,1,аєв,аєва
0,1,’як,’яка
0,1,нас,наса
0,1,даш,даша
1,1,рба,рби
0,1,озд,озда
1,1,пак,пак
1,1,чак,чак
0,1,тор,тора
0,1,вий,вого
1,1,ник,ник
1,1,мар,мар
1,1,сик,сик
0,1,рій,рія
0,1,тій,тія
0,1,шен,шена
0,1,лій,лія
0,1,лін,ліна
0,1,ець,еця
0,1,ран,рана
1,1,цин,цин
0,1,пів,пова
1,1,чек,чек
0,1,тюк,тюка
0,1,ина,ини
1,1,йда,йди
0,1,поп,попа
0,1,люк,люка
1,1,’як,’як
1,1,риш,риш
0,1,ень,еня
0,1,сін,сіна
0,1,дов,дова
1,1,вал,вал
0,1,бал,бала
0,1,оба,оби
0,1,кач,кача
1,1,бал,бал
1,1,уха,ухи
0,1,цун,цуна
1,1,ьна,ьни
0,1,ота,оти
1,1,чін,чін
0,1,ока,оки
1,1,сян,сян
0,1,пюк,пюка
1,1,пів,пів
0,1,нна,нни
1,1,тна,тної
0,1,йко,йка
1,1,ілі,ілі
1,1,ота,оти
1,1,нна,нни
0,1,сов,сова
0,1,жко,жка
1,1,нюк,нюк
1,1,ьна,ьної
0,1,зак,зака
0,1,вал,вала
0,1,пак,пака
0,1,мас,маса
0,1,бко,бка
0,1,тін,тіна
1,1,ець,ець
1,1,еба,еби
0,1,ьов,ьова
0,1,шин,шина
0,1,зур,зура
0,1,йка,йки
0,1,щин,ощин
0,1,еба,еби
1,1,аль,каль
0,1,кан,кана
0,1,тко,тка
0,1,тіс,тіса
1,1,няк,няк
1,1,ара,ари
1,1,тіш,тіш
0,1,рал,рала
0,1,рис,риса
0,1,цов,цова
1,1,ган,ган
1,1,лій,лій
0,1,ань,аня
0,1,ній,нія
1,1,нік,нік
0,1,йда,йди
0,1,сян,сяна
1,1,рис,рис
1,1,ань,ань
0,1,рак,рака
0,1,пов,пова
1,1,сюк,сюк
0,1,нко,нко
0,1,іль,іля
0,1,мар,мара
1,1,кан,кан
0,1,лик,лика
0,1,лий,лия
0,1,чек,чека
0,1,цол,цола
0,1,сик,сика
0,1,іон,іона
0,1,бін,біна
0,1,рян,ряна
1,1,іль,іль
1,1,ало,ало
1,1,йка,йки
